HGNC	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55	S56	S57
SLC7A2	5.60941120257927	7.34681515268601	1.7951101152973	1.73153936037761	4.31969161520916	7.30382324720139	5.51117667726356	6.76900450188807	0.370837771149107	5.65369153326462	2.17453596962342	1.13539200838848	4.59479586539327	-0.190067199203393	1.63730555949082	1.62376187358614	4.01041628699781	4.8622691482623	2.62292377945259	1.01498722735399	3.81184954270967	5.38684887323261	4.64485250062184	1.31088671773499	1.99330963435025	0.683202322132259	1.77630082657406	5.07624539415688	6.66555238316136	1.31426230342701	5.67975119142984	5.04293470975145	6.16868936988725	8.47342411387636	4.88668537146244	4.11856465237702	7.68601453881502	8.22976510885564	3.05997510877442	6.43277518301989	5.84909365799555	8.67487978818511	5.01549745846489	7.01667232022506	9.06955388774679	5.3912725249839	9.16778981599106	7.86196056129099	3.1375982306191	6.48931288370178	7.86721651665209	8.31399686281923	7.17134408263944	6.94405555545088	2.62215892559758	7.13355320179491	4.92741154238515
PRSS22	4.74010382766955	4.1325711382105	0.407877538850614	5.11836950562871	0.140020722008409	-0.107554041820814	0.187181363028181	0.737421005594852	-0.157852960292618	2.0076095248836	5.89461557093098	2.10946130122386	2.79893082390247	-0.495166895368459	0.462229719166462	3.40294086362145	2.00566176201126	3.78777766177791	4.35179054609854	4.03963866784339	2.35814772162654	4.54295178182672	0.330561682124008	2.19157486262115	2.17347426198197	1.76054002376753	3.16788980830904	3.09762635133484	0.635753601315569	3.27489030484597	-0.245683765439529	-0.175915417622227	1.92396996826052	-0.189391473829695	0.731075776103942	1.16991141604997	-1.30354564291151	-1.12686104091884	2.19097906583587	1.33189488569104	1.87095997942804	-1.08089283956176	2.78731882262274	2.78530512766118	2.03361052300693	1.93375988420435	0.133935715160948	2.66146669668914	0.758348724841913	1.16535935374172	2.70714773029199	-0.450886838483074	2.32197470662491	3.04544512367207	1.16293792693112	-0.781646106796848	1.8919872530245
MAP3K14	3.19481804460373	3.26878005641123	3.48054082657136	2.51990355577954	3.30669143498668	3.54932277277265	4.38673540619996	4.09934606620327	2.24578362554376	3.34535677725419	3.83035382801671	4.65358979471427	2.66550408040289	3.38141594494218	4.44053653673429	2.68002162401423	3.60102549944168	1.92511640737884	3.96891263181838	3.08307478434004	4.59446576977898	3.14581402288111	3.36313747057084	4.14669649673711	3.1758933991867	4.4143170206819	3.63577200492306	2.72636109657978	4.13719184791466	4.77473567312467	4.26469621702116	2.85330067298467	2.03211493391595	2.16331443894699	2.39890983957136	2.65316662442453	2.61676393951089	2.58869847266733	3.39753078257074	2.41909060659629	2.89087639146241	0.932695764931212	2.53687588149939	3.28122161487641	2.29504490766713	3.73102283083384	2.52697280331256	3.53067665088269	2.34481826902426	2.11202958399403	2.5396965229594	1.3762691517569	3.07584882491731	1.4332609530472	3.29359833534274	3.88858955643662	2.46395879346965
MASP2	2.82469509242687	0.672085899984148	0.328249291793783	0.476495333275702	1.17732584758711	1.84673742931693	3.00210575173836	1.50974140313627	0.785641666872988	1.61286629341616	0.365204554103511	1.90707475981053	1.49355576234267	-0.107229220276873	0.46815599742855	2.81500149625124	0.158323115625519	-0.029957534546337	1.73982728936912	0.593468391706532	1.04325633872466	1.11125654723815	0.268582070333619	1.59234681429699	0.36625892178313	-0.272428502151188	3.08344618504973	1.30156751331837	2.49447847155775	0.261493829203327	0.573937936849954	0.502437996004685	0.798352902808855	1.88937640316987	0.198438422830634	1.32185751130384	2.21740779732642	3.26855334200622	1.61358713648465	1.24147140726519	0.997954924565935	0.87108007045042	1.45256528964483	1.18336583561794	1.27109186830667	1.5898293060751	2.15419142714702	1.8830439413771	0.883873930180739	1.48974356670989	2.04338319099024	1.20079923331144	2.022745531311	0.664985981679101	0.015423744930314	1.28707528142002	1.43269599924845
IDS	7.01182972180927	3.79323752258369	4.96991260831081	6.85422655985832	7.04547054811892	8.24771973148368	7.45921057789351	7.04244768534455	4.27740061548968	7.95401106755933	5.52796437739661	3.99873216360891	6.59207635714007	4.77270609574598	4.58277192668436	5.48217169809574	4.3961966700617	6.71623412074372	4.37300000754723	4.42832042289332	5.48485048203134	6.75775449593679	6.50722468361521	5.55450626985437	4.85313253240827	4.85571869918818	7.52455040342932	7.03447072233129	7.26358466651071	5.00125853924851	5.10645364339323	4.60382396370935	8.07621058213414	7.55848420767339	8.09426391640744	7.43114210921008	7.46781785261704	2.34325474009209	7.6793410164726	8.01167109204081	6.74950645840658	7.64657491490347	7.69421029466962	7.60466158131155	7.69512046620405	6.64472572771783	8.40919514757131	7.17558822997378	8.79738694248896	7.84053509829971	7.41535940721407	7.3705285590103	7.40238413757735	8.15964814553286	5.79911899712711	7.71789573963329	7.40309534053739
PRSS3	3.80628357189774	2.65167437989158	2.11219177216773	0.375808954475985	0.57145057455825	5.42245874359481	6.11268637500673	1.08369644981894	0.927604172557934	4.61692380481282	3.18689539090578	1.07242571489185	2.88130449641604	5.99317646658382	0.472330918774136	6.07203733287724	4.74183735052946	8.14233632279432	0.093020307518068	7.16762672914198	4.08478426095442	4.70893137004302	4.62939346769457	-0.160473017063578	2.69736860453284	9.31285394181768	0.94253550081011	7.1850862679129	5.76824059448278	6.30868622577239	4.79589005996438	3.16219526573902	2.44667685328082	-0.21376150843711	0.62589648494595	0.354815579802431	0.068992582745251	3.47695719659798	-0.671829039109573	1.22892002628934	0.684422641753782	0.631866937292077	0.496048492304416	1.14921672378921	0.203860711344807	1.94026817563113	2.66462409956431	5.23638220630164	0.343942916318298	0.951206976910796	1.2685044018615	-0.422564200776697	0.903998981233732	-0.61104611557815	0.533684177625975	1.61925488453915	-0.525639935164635
CLDN11	1.61468341567427	2.15134971536663	3.46687944545563	2.04051317776475	3.59314252855352	3.30346415372307	2.20766760851229	3.16637229710227	4.06084201744604	2.90805708459408	3.16389367845616	2.6563390081107	1.31544490885903	5.87890856740364	4.07541064276324	5.36207985826589	3.73014898829097	1.43048199383423	2.39182858544601	5.99286374772216	3.82467582414227	2.89964184558999	6.2277755703626	3.34086386498188	7.05802170275642	1.49410471955242	6.57053775655338	2.65454144573389	1.16601626185016	2.70322053968438	2.12529986881315	4.9119870168137	3.08906335682254	3.74465500758485	3.42331913604988	2.61204466234856	2.20717276498174	4.11621762756061	3.7397358052066	4.12263550558047	1.92419171674221	1.65715114096359	3.38077949118343	3.57652455888277	3.31816293877635	3.65935311649775	3.23456188714959	3.84316062720797	3.13014548962218	2.57007660699814	3.54433982161458	2.36459568777561	3.6022908709874	1.7816356582997	3.42110015204316	3.7017944644219	3.24309246852147
BID	3.02275726662755	4.42899343487941	4.92872585460263	3.45916285112335	5.08353942462121	3.58981597607923	5.2878528095775	5.43118949298285	3.4732245990773	4.99854516220966	4.83661020999557	6.76436976513137	3.65123719984933	5.1799349368873	7.58915251499211	4.09535733680115	4.83804689488084	5.54755867832765	4.33358764691081	5.41525755145432	5.1067045245477	3.25129124115762	7.04365500819047	4.0371338187807	4.34366608173412	5.25545228439699	3.06158116290219	5.37578444620968	5.1688536633098	5.87141410387953	4.95059907995568	5.9154247349476	3.54695366434152	4.25134228171298	4.6009766118632	2.82700986360988	3.060614125579	1.01527263864116	3.07673775624423	3.55754937158552	4.30513898590214	3.23017762886109	3.73944450940035	3.06377810559744	4.72289216245684	3.46427180245346	4.1400414364791	4.66573964051061	3.89049595923569	4.30081743215561	4.23285550466955	3.38643317194958	3.69670770299646	3.84883132407609	3.18067599285548	3.50822975703943	2.57664067157588
IL20RA	1.77109658472385	0.758376811285494	1.25783453783986	6.80430818158355	2.0341991243716	1.29960395443192	3.50396251851498	-0.313144813712471	-0.097672316326716	2.75902697092216	4.4486410118656	3.26751884912487	4.30646913595248	2.22495504116191	0.281317232764569	4.73810900185847	3.50808474391506	3.10069652120332	3.28736936718459	0.735729587903523	4.76503896879747	0.159817931631897	1.43505235280456	3.0797507383214	1.49434677165324	3.25476127467326	5.48360729653232	2.02965308620355	2.46989844380756	3.69152292359333	4.48136491598162	0.813886642912641	2.42661001676511	1.58272806961588	2.78277730623268	4.66942996111573	3.27492043245296	0.596538841497627	2.81663700357034	1.60119870084871	-0.125179452631264	1.70897612610282	1.22987562791962	0.881503550550905	1.54512008253916	0.675812625191811	-0.603237058096568	3.14828209593824	3.96046080137786	4.1576434053278	0.880876700232042	4.23676115660793	2.10525445623593	4.32391149320853	0.320529099169164	1.93128528994967	4.98996640018376
CLCA1	0.663393344353914	-0.430744257126662	-0.151294184901494	-0.101561158638921	-0.415136643830219	-0.533896427336229	-0.150404165290568	-0.273158252177522	7.26306211647997	-0.811438423674423	-0.31053566086551	-0.027448865469929	-0.152391792094903	-0.377649665657506	0.045786778835566	-0.570540160629581	0.092526099662418	0.349518843694043	-0.537431446689588	-0.273759657077759	-0.154619278222751	-0.292785536410248	1.70888564973895	-0.570448583405568	2.0400843447055	9.26261593426462	-0.70831785714636	0.201751824297346	-0.382068546683893	5.22284573654298	-0.246243762073104	-0.119935105266805	-1.19185523768041	-0.190500349715004	-1.14917789888443	-0.561177866663997	-1.1092353832301	-0.78991668332276	-0.850134060970323	-0.934204799754452	-0.60541002777427	-1.24148695265769	-1.00133900804937	0.390214380474212	2.12626254236027	-1.18148432677871	0.757646364794983	-0.193979791702287	-0.427309694573297	0.061975284906338	0.679644967042459	-1.21214331217035	-1.17622404200111	0.045307111509482	-0.728485305447594	-1.07568850017783	-1.16650109151854
